comment;category;crit1;crit2;crit3
Сидоров! — А что, я же ничего не делаю! — Вот именно, что ты ничего не делаешь!;command;0;0;0
А голову ты дома не забыл?;command;0;0;0
Пока ты болел в классе была идеальная тишина...;command;1;0;0
тебе хоть кол на голове теши;command;0;0;0
Если не перестанете в окна смотреть, я их зашторю!;command;1;0;0
Ты еще в проход между партами ляг!;command;1;0;0
Отодвинься от Ивановой, ты сейчас на нее ляжешь уже!;command;1;1;0
И чем ты у нас болеешь? Воспалением хитрости?;command;1;0;0
Что ты ржешь, скажи нам всем, вместе посмеемся!;command;0;0;0
У вас в голове и так сквозняк, а вы ещё и окно открыли.;command;0;0;0
Выйди и зайди нормально!;command;0;1;0
Завтра в школу с родителями!;command;0;1;0
Один уже двойку получил, сейчас и второй получит!;command;0;0;0
Сейчас рассажу эту сладкую парочку!;command;0;0;0
Двойку в журнал пока ставлю карандашом!;command;0;0;0
